"Mots";"Occurrence"
"sort (schemes)";"1"
"Circle recognition";"1"
"Cue sheet";"1"
"# dimension members";"1"
"Others";"9"
"Intrusion Detection System (IDS)[b]";"1"
"Intel SGX";"1"
"OS/2 & eCS";"1"
"Purpose";"2"
"Resumable downloads";"1"
"Palm OS";"1"
"Provider";"2"
"Network storage";"2"
"Movie mode";"1"
"Alpha";"1"
"BZR";"1"
"Protocol support";"1"
"Text Recognition (OCR)";"1"
"Two-factor authentication";"1"
"2016[168]";"1"
"Support";"10"
"Greece";"9"
"XPath search";"1"
"Network";"2"
"Under active development";"1"
"Super-seeding";"2"
"Boolean";"1"
"Product import-export";"1"
"Peer exchange";"2"
"HTTP Tunnel";"1"
"Propellant";"2"
"Image support";"1"
"Offline";"1"
"Grouping";"1"
"Presentation Software";"1"
"Object reference";"1"
"Latest release date";"8"
"Touch screen";"2"
"Warhead/payload[clarification needed]";"1"
"Transactions";"1"
"Attribute-Based Access Control (ABAC)";"1"
"Embedded code";"1"
"Browser support";"1"
"MacOS";"2"
"Successors";"1"
"FreeBSD";"5"
"Martian missions";"1"
"Yang departing 陽去(7)";"1"
"Tizen";"17"
"M511 Curve511187 [154]";"1"
"Popular products";"1"
"Automated commercial skipping";"1"
"SDK?";"1"
"Exposure correction";"1"
"IntelliJ IDEA";"1"
"Current stable version";"3"
"Free software[note 3]";"3"
"Alternate data streams";"1"
"Names";"1"
"Redirect IP addresses (forwarding)";"1"
"find_character(string,char) returns integer";"1"
"POSIX attributes";"1"
"Fat binaries";"1"
"Modulation";"1"
"Flow-control framework";"1"
"Floating-point";"2"
"Export";"1"
"uai";"1"
"Related/synonym tags";"1"
"Writes/Burns?";"1"
".rtf";"2"
"uan";"1"
"Ember.js";"1"
"Builders: Java";"1"
"Controller";"1"
"Firewall";"13"
"sRGB";"1"
"Horizontal / vertical";"1"
"Network requirements";"1"
"Type";"19"
"Sensitivity";"1"
"Rendering";"1"
"Entries (approx.)";"2"
"Button for Page-turn";"1"
"Key and target markets";"2"
"Registration pins";"1"
"Extract Playlists";"1"
"Campaign site";"1"
"Satellite navigation system";"1"
"TAR";"2"
"KPI";"1"
"E222 [154]";"1"
"Neighborhood association";"1"
"Persistent Cache";"1"
"Mirror search";"1"
"Runs on Linux";"1"
"Dictionary offline";"1"
"Input";"1"
"Multiple skins";"1"
"Manufacturer";"8"
"Encore Play";"1"
"Insert hyperlink [unclear]";"1"
"Snapshots per VM";"1"
"Scrollback";"1"
"Single sign-on";"1"
"IrDA";"1"
"CAB";"2"
"Tab completion";"1"
"Sun Java System Instant Messaging Server";"1"
"NE2000/RTL8029";"1"
"Latest stable release date";"4"
"DxO score";"1"
"HUNK";"1"
"Highlander";"2"
"R-/R+ tree";"1"
"RAID";"2"
"micro SDHC";"1"
"CPU scavenging";"1"
"Indexed full-text search";"1"
"Database tables";"1"
"AmigaOS (68k)";"1"
"NAT traversal";"1"
"End year";"1"
"Runs on macOS Catalina";"2"
"Resolution";"2"
"Development active";"4"
"TCP";"2"
"Message filtration";"1"
"Report date";"1"
"Chipset";"6"
"MINIX fs";"1"
"H.264";"1"
"HMAC";"1"
"Latest stable version";"27"
"Cost";"11"
"Python3x support";"1"
"Update HTML***";"1"
"Installed Size (MB)";"1"
"CBR";"2"
"Curve recognition";"1"
"Printing-friendly";"1"
"Special features";"1"
"Copy Content to iPod";"1"
"Creation platform[4]";"1"
"Value prompt";"1"
"Windows 9x";"1"
"Multiversion concurrency control";"1"
"TDP";"1"
"OS support";"1"
"Navigation";"1"
"Journal Impact Factor*";"1"
"TCP/UDP connections as streams";"1"
"Can be used in proprietary apps";"1"
"Client-Specific";"1"
"m68k[118]";"1"
"Windowing Functions";"1"
"Shows S.M.A.R.T. attributes";"1"
"Shibboleth";"1"
"Date";"3"
"Presentational markup[4]";"1"
"Digital subchannels";"1"
"TEA";"1"
"jQuery";"1"
"ODF version attribute in exported file office:version=""1.X""";"1"
"Web pages";"1"
"First Release Date";"1"
"Typical input";"1"
"Wiki";"1"
"SPARC SMP";"1"
"Input method";"1"
"Product rating";"1"
"Custom fields";"1"
"GStreamer";"1"
"Java Generics";"1"
"PayPal Payflow Pro";"1"
"tsʰ";"1"
"Ajax use";"1"
"Wildcard";"1"
"Favorites / Bookmark";"1"
"NNTP";"1"
"Data inspector";"1"
"Registered users";"1"
"QED (QEMU)";"1"
"Encryption supported";"2"
"Determinacy checker";"1"
"Academic/noncommercial use is free";"1"
"Specific impulse (Vac.)";"1"
"TGA";"1"
"Line";"1"
"WebUI";"1"
"Fading edge";"1"
"Web browser";"5"
"Disassembler";"1"
"Frequency utilization/Call density";"1"
"Movies Anywhere";"1"
"Auto Discovery";"1"
"Compilers";"1"
"PDF annotate and save [unclear]";"1"
"/dev/crypto";"1"
"Set";"1"
"Me, 98";"1"
"MXF[B]";"1"
"Windows (PowerShell)";"1"
"Sling TV [8]";"1"
"Tiger";"1"
"Standard APIs";"1"
"sect193r1 (4)[81]";"1"
"Data Source / Infeed Functionality";"1"
"DRM support";"3"
"Plugin, extendable";"1"
"Blue";"1"
"Supported languages";"1"
"Screen pixels";"2"
"Internal state size[note 1]";"1"
"Arch";"2"
"Add new column";"1"
"BeFS";"1"
"Debian approval [42][43]";"1"
"SATA Ports";"1"
"Canada Post";"3"
"TX Power";"1"
"C++ generated code (x86)";"1"
"ePub";"2"
"Unlimited MB plan4";"1"
"Change value";"1"
"RFC 6352 CardDAV vCard";"1"
"Native code";"1"
"Packet capture";"1"
"Open file support";"1"
"Browser downloading";"1"
"Tell friends";"1"
"Go to";"1"
"CHM";"1"
"String table";"1"
"Branch evaluation";"1"
"Language(s)";"7"
"Regex";"1"
"List";"2"
"Bookmarklet";"1"
"D/WM";"1"
"Australia Post";"3"
"exFAT";"2"
"Showtime Anytime";"1"
"HTML parsing[1]";"1"
"Dimensions (mm × mm)";"1"
"Multilingual";"3"
"Browsers";"1"
"Filename casing";"1"
"Available as a browser extension";"1"
"Poly1305";"1"
"Latency";"3"
"Limit on IA-32";"1"
"XTEA";"1"
"Linux";"64"
"Model[16]";"1"
"Comic book";"1"
"Purolator";"1"
"Example usage";"1"
"2002[154]";"1"
"Free Spyware-Adware";"1"
"URL hyperlinking";"1"
"FOSS";"17"
"JSON";"1"
"Configurable";"1"
"AirPort Extreme";"1"
"Memory Max";"1"
"Sandbox";"2"
"Resort name";"1"
"Conditionals";"1"
"Eigenvalues";"1"
"OS 9";"1"
"OS 8";"1"
"TLS";"3"
"SMIL";"1"
"Oracle";"3"
"Cache L1";"1"
"join(separator, list_of_strings) returns a list of strings joined with a separator";"1"
"Cache L2";"1"
"Cache L3";"1"
"Run unprivileged4";"1"
"Batch file sharing";"1"
"CAM support";"1"
"FairPlay";"1"
"PSK[95]";"1"
"One-to-many routing 4";"1"
"Wiki pages";"1"
"Amiga FFS";"1"
"Panel for window switching";"1"
"Regular expressions";"1"
"Fuzzy logic [D 5]";"1"
"DivX / Xvid";"1"
"MOLAP";"1"
"File repairing";"1"
"Font ID & replace";"1"
"Maximum Fragment Length [173]";"1"
"CLI";"10"
"Operating System Support";"1"
"Missile mass";"1"
"Unicode Support";"1"
"U.S. equivalents";"1"
"x86 SMP";"1"
"Attaching Emails to Business Objects";"1"
"Access permissions";"1"
"Automatic Update";"1"
"TLS 1.0[32]";"1"
"Change rules without requiring restart?";"1"
"Approximate number of packages";"1"
"Adjustment";"1"
"ARMv8-A";"1"
"Bloom filter";"1"
"hosted mode";"1"
"a.out";"1"
"Validation of simple new document[5][6]";"1"
"HTML editor";"1"
"secp224k1 (20)[81]";"1"
"BitKeeper";"1"
"Asian First";"1"
"Default installer";"2"
"DHT [Note 3]";"1"
"OS X";"8"
"total # of formats";"1"
"Transactional";"1"
"Reordering";"1"
"Modification";"1"
"Metadata-only journaling";"1"
"Latest version/release + date";"1"
"TV tuner, video editing, or webcam";"1"
"Native APIs[t 2]";"1"
"CRC32c";"1"
"AVI[a]";"2"
"MMCP[24]";"1"
"FXP (Site2site transfer)";"1"
"Author/Developer";"1"
"TPM";"1"
"Stream purchases";"1"
"Min DATE value";"1"
"Flash viewer";"1"
"Monitor mode";"3"
"Acorn ADFS";"1"
"Ancestor pedigree reports";"1"
"Maximum number of logical CPU per VM guest";"1"
"Browser plugin";"1"
"Patented";"1"
"Word .doc";"1"
"Variable file block size[ch]";"1"
"Latest Stable Release";"1"
"LAB";"1"
"Energy Star EZ GPO[5]";"1"
"Redundancy Granularity";"1"
"Spain";"9"
"Barack Obama";"1"
"Next-previous product links";"1"
"In-app Epub import";"1"
"search (criteria)";"1"
"First aid required";"1"
"Boot-time scans";"1"
"Expression";"2"
"Memory management";"1"
"Text and paragraph formatting";"1"
"LAN";"8"
"Autorouter";"1"
"USB 2.0";"1"
"Plug-in support[18]";"1"
"Extension method";"1"
"x86-64";"2"
"CPT";"1"
"Outline bulleting with indent";"1"
"CPU";"2"
"Mapping";"1"
"Background noise";"1"
"Result";"1"
"Returns";"2"
"IRC Bot";"1"
"Supported platforms";"1"
"Swap space";"1"
"BeOS";"1"
"Burn time";"1"
"Supported architecture";"1"
"DHT [Note 6]";"1"
"QTFF[37]";"3"
"Announce";"1"
"jabberd14";"2"
"Video battery life (hr)";"1"
"LCD";"1"
"LCC";"1"
"Distribution model";"1"
"Export to Mobile";"1"
"hvordan manden,";"1"
"Price";"16"
"CRC";"1"
"Value";"13"
"Export universal DXF";"1"
"CRL";"2"
"Parallel Query";"1"
"CRM";"1"
"Launch price (USD)";"1"
"STD-notification";"1"
"CRT";"1"
"IBCS2 systems";"1"
"Approximate number of pre-compiled packages";"1"
".5";"4"
"Open-Source License?";"1"
"Other software";"7"
"Difficulty of repair";"5"
"CSA";"1"
"SMP support";"4"
"ISO/CD Image";"2"
"PCB Size";"1"
"Grayscale";"1"
"HMAC-MD5";"1"
"Chernobyl";"1"
"Collaborative software";"2"
"HyperTransport (MHz)";"1"
"Cloud synchronisation";"1"
"Camry";"1"
"SLoC";"1"
"Gesture command";"1"
"News Filtering";"1"
"KRB5[97]";"1"
"Afrikaans meaning";"1"
"small-sized content";"1"
"Editions";"3"
"Norway";"9"
"Secondary separator-terminator[1]";"1"
"Resume";"2"
"Word Online";"1"
"Themeable";"1"
"Owner";"2"
"Booleans";"1"
"Languages";"35"
"iPod touch/iPhone FW 5.0.x";"1"
"Spacecraft involved";"1"
"Extracts?";"1"
"CUE";"1"
"DH-ANON[34] (insecure)";"1"
"Hidden containers";"1"
"Contract support offered";"1"
"Ogg Vorbis";"2"
"Archive ability";"1"
"Used in";"1"
"MooTools";"1"
"Kernel name";"6"
"ULTRIX";"1"
"User-replaceable HDD/SSD?";"1"
"Allocate-on-flush";"1"
"Parser";"1"
"Portable";"4"
"KHTML";"18"
"File Contents [D 2]";"1"
"Remote IR receiver";"1"
"Public key cryptography";"1"
"Usage Based Optimizations";"1"
"MySQL versions";"1"
"MIPMAP generation";"1"
"Inventory";"1"
"Key";"1"
"Brand/common name";"1"
"File save/export/import formats";"1"
"CVS";"4"
"Shared folders";"1"
"M383 [154]";"1"
"User-specified maximum download speed";"1"
"Page Turn Effects";"1"
"Static code analysis";"4"
"Web application framework";"1"
"Bit rate";"2"
"Line-in recording";"1"
"Spell check";"1"
"SEED";"1"
"Layers";"2"
"Pattern matching (filename globbing)";"1"
"IDE Channels (2 Devices/Channel)";"1"
"Python2x support";"1"
"2005[157]";"1"
"RFC 2617 HTTP auth.";"1"
"Non-laboratory usages";"1"
"Twofish";"1"
"Product line";"1"
"WOLF[h 1]";"1"
"SMTP";"1"
"Microsoft Windows";"4"
"Contacts";"1"
"QCOW2 (QEMU)";"1"
"Secure Renegotiation [172]";"1"
"Microsoft Windows Storage Server[1]";"1"
"Dictionary online";"1"
"Open eBook[h 2]";"1"
"Detect conflict";"2"
"RSS 2.0";"1"
"Viewer";"1"
"Memcached server";"1"
"PubMed";"2"
"Iceland";"9"
"Non-greedy quantifiers [Note 1]";"1"
"AV Comparatives";"1"
"Web Interface";"1"
"Last";"1"
"ER diagram groupboxes";"1"
"Search & replace on variable substitutions";"1"
"PKIX path validation[107]";"1"
"Bus speed";"1"
"User selectable themes";"1"
"Standardized?";"2"
"First";"1"
"Server location(s)10";"1"
"Polygon";"1"
"Custom authentication";"1"
"FireWire (IEEE1394)";"2"
"Web host";"1"
"Supports IPv6";"1"
"OCSP[109]";"1"
"Program";"8"
"Architecture";"6"
"Asynchronous message relaying";"1"
"Restricted facets";"1"
"XML for Analysis";"1"
"RSBAC";"1"
"Oxidiser:fuel ratio";"2"
"Automatic Author Disambiguation";"1"
"Maintained?";"1"
"Expansion slots";"1"
"Auto updates";"2"
"Protocols, based on, compatible with";"2"
"Lookup Wikipedia";"1"
"Guest OS";"1"
"Protocol test report";"1"
"Full-featured free trial period";"1"
"GOST R 34.11-94[82]";"1"
"Lifts";"1"
"Web hosting";"1"
"Runs arbitrary OS";"1"
"Ability to centrally manage all firewalls together";"1"
"zoom (styles)";"1"
"No OS (bare metal)";"1"
"Handset interoperability";"1"
"User interface";"6"
"Mini cart";"1"
"Antivirus (AV)";"1"
"Command-line interpreter";"1"
"RFC 5397 WebDAV current principal";"1"
"Console";"1"
"Chrome";"1"
"Total lifts";"2"
"SproutCore";"1"
"OS/2";"1"
"For Directories, size column shows:";"1"
"Runs on POSIX style systems?";"2"
"Host CPU";"1"
"M2TS";"3"
"DANE";"1"
"LMP";"1"
"Delta copying (block level transfer)";"1"
"User-created sessions";"1"
"AIFF";"2"
"SNIP and SJR";"1"
"Barclaycard CPI";"1"
"Levels";"1"
"Vault";"1"
"HEIF";"1"
"Private messages";"1"
"Latest version - date (version)";"1"
"Rendezvous dockings in orbit";"1"
"Verify mode";"1"
"Lens interface";"1"
"Creation timestamps";"1"
"Security";"1"
"Maximum video resolution";"2"
"Networking support";"1"
"Lines ratio[42]";"1"
"Metadata[a]";"1"
"Capacity";"2"
"Global File System + Kerberos";"1"
"Cloud hosted Net Drive5";"1"
"Supported data models (conceptual, logical, physical)";"1"
"95";"1"
"Translate";"2"
"Remarks / other features";"1"
"# cubes";"1"
"Governor term limit";"1"
"Stores file owner";"1"
"7z";"2"
"Launch payload";"1"
"Perl";"1"
"Resource limit";"1"
"Free software repositories";"1"
"Announced (date)";"1"
"A/UX";"1"
"Witness to events";"1"
"CP/M";"1"
"Belgium";"9"
"Auto defrag when idle";"1"
"9P";"2"
"WYSIWYG";"1"
"Windows (cmd)";"1"
"LPD";"2"
"Registers (excluding FP/vector)";"1"
"RIPEMD-320";"1"
"GIS software";"1"
"Roaming";"1"
"iBroadcast";"1"
"LDAP support";"1"
"Included Software";"1"
"Invoicing";"1"
"Complex";"1"
"Descriptions";"1"
"Chat";"1"
"SciFinder";"1"
"Adult weekend lift ticket window price (USD)";"1"
"LZJB";"1"
"Untrusted script blocking";"1"
"Ogg Theora";"1"
"Stream redirection";"1"
"Instances";"37"
"Graphics";"2"
"DAR";"2"
"Textual editor?";"1"
"Android App";"1"
"First public version (date)";"1"
"Native operating systems";"1"
"Host OS";"2"
"Tax";"1"
"Cursor";"1"
"Autocomplete using schema";"1"
"SD card slot";"1"
"M3U";"1"
"Spare bulb required";"1"
"LRW";"1"
"Ontology/Ontologies Supported";"1"
"UDF";"5"
"Multiple Devices";"1"
"Webix";"1"
"M4A";"1"
"Client";"28"
"Server name";"1"
"UDP";"1"
"Swedish meaning";"1"
"DCC";"2"
"DVD-R/RW DL";"1"
"SEND";"2"
"Interlingua (Latin-like word order)";"1"
"Pump type";"5"
"BibTeX";"2"
"Tcl";"1"
"hppa[115]";"1"
"Ink-pen input";"1"
"Aperture size";"1"
"DDC";"1"
"List view";"1"
"Category";"2"
"Full SSN required?";"1"
"RAF Fujifilm";"1"
"Find in files";"1"
"Default Task";"36"
"Current Stable Version";"1"
"Initial release";"1"
"Source";"1"
"Creator-maintainer";"1"
"RFC 7529 iCal RSCALE";"1"
"Docker Image";"1"
"Column";"1"
"Media Extenders";"1"
"Slovakia";"9"
"3GP, 3G2";"2"
"Supported executable";"1"
"DEB";"1"
"SVR4";"1"
"Table inheritance";"1"
"UFS";"2"
"Offline methods";"1"
"LV2";"1"
"Service";"2"
"Primary Purpose(s)";"1"
"Identity (not inc. alias)";"1"
"DES";"1"
"Free Software";"1"
"Able to cross-compile";"1"
"Latest Stable version / (Date)";"1"
"Prius";"4"
"Predefined tags";"1"
"Apache OpenOffice / LibreOffice";"1"
"First released";"1"
"MDC2";"1"
"Server";"8"
"OSI approval [41]";"1"
"Epub downloading";"1"
"WWE Network";"1"
"Word for Windows";"1"
"Freeware version";"1"
"Max. file size";"1"
"Last release";"1"
"Paging volume key";"1"
"Country and (Argentine provinces)";"1"
"Status";"16"
"Sequential downloading";"1"
"LIVE Medium";"1"
"ECDHE-PSK (forward secrecy)[96]";"1"
"Encrypted file systems";"1"
"Page Preview";"1"
"Speed limit in urban area";"1"
"Proxy server";"3"
"man pages";"1"
"C++ compiler";"1"
"Gzip/Deflate ZIPx";"1"
"Context sensitive help";"1"
"Green Hosting";"1"
"AU";"1"
"Finland";"9"
"3G2";"1"
"C#";"19"
".djvu";"2"
"Free-busy URL";"1"
"CD-R/W";"1"
"BI";"1"
"DHL";"3"
"RFC 2518 WebDAV";"1"
"Planned prod./actual total";"1"
"Remote control via web";"2"
"Annotate";"2"
"Linking";"1"
"DHT";"1"
"Word wrap support";"1"
"Public source code";"1"
"Output";"7"
"Official website";"2"
"smil/smi";"1"
"Super 35?";"1"
"Architecture Support";"1"
"IP SLA Reports";"1"
"Yang rising 陽上(6)";"1"
"3GP";"2"
"Refactoring";"1"
"XPath";"1"
"ZX Spectrum";"1"
"Mac OS classic";"1"
"XDCC";"2"
"Insert table";"1"
"ORF Olympus";"1"
"Functions";"1"
"Mylyn[51]";"1"
"DRM formats supported";"1"
"Audit";"1"
"raw / flat (whole disk)";"1"
"EMCO Software Remote Shutdown[4]";"1"
"Audio";"3"
"ejabberd";"2"
"WebApp";"1"
"Format string syntax";"1"
"LZO";"1"
"Discussions";"1"
"RFC 4709 WebDAV mount";"1"
"Safari";"1"
"SFTP support";"1"
"Ancestor narrative reports";"1"
"XForms";"1"
"Resource access control";"2"
"ɔk";"1"
"ɔm";"1"
"Calendaring software";"1"
"EC";"1"
"RealPix";"1"
"Boots from CD";"1"
"File lock";"1"
"Messaging other users";"1"
"Storage";"3"
"ɕi";"1"
"Interlingua version";"1"
"Windows App";"1"
"slideshow";"1"
"GSVD";"1"
"Chapters";"1"
"Port forwarding";"1"
"iTunes Match";"1"
"Terminal Service Compatibility";"1"
"WFS-T";"1"
"WebM[24]";"3"
"Based on";"13"
"Thesaurus/Controlled Vocabulary Used";"1"
"eval function";"1"
